#T,        H_coll_WC, H_el_WC,   H_coll_OB, H_el_OB
8.9125e+07,1.1379e-10,3.6064e-09,5.2296e-10,5.8548e-09
1.0000e+08,1.2077e-10,3.6034e-09,5.5410e-10,5.8503e-09
1.1220e+08,1.2813e-10,3.6001e-09,5.8707e-10,5.8459e-09
1.2589e+08,1.3589e-10,3.5968e-09,6.2197e-10,5.8409e-09
1.4125e+08,1.4410e-10,3.5932e-09,6.5891e-10,5.8356e-09
1.5849e+08,1.5277e-10,3.5893e-09,6.9804e-10,5.8298e-09
1.7783e+08,1.6193e-10,3.5851e-09,7.3947e-10,5.8235e-09
1.9953e+08,1.7162e-10,3.5804e-09,7.8334e-10,5.8162e-09
2.2387e+08,1.8187e-10,3.5752e-09,8.2980e-10,5.8080e-09
2.5119e+08,1.9271e-10,3.5694e-09,8.7901e-10,5.7988e-09
2.8184e+08,2.0419e-10,3.5627e-09,9.3113e-10,5.7882e-09
3.1623e+08,2.1634e-10,3.5551e-09,9.8633e-10,5.7757e-09
3.5481e+08,2.2920e-10,3.5462e-09,1.0448e-09,5.7616e-09
3.9811e+08,2.4282e-10,3.5359e-09,1.1067e-09,5.7448e-09
4.4668e+08,2.5724e-10,3.5238e-09,1.1723e-09,5.7255e-09
5.0119e+08,2.7251e-10,3.5096e-09,1.2418e-09,5.7024e-09
5.6234e+08,2.8867e-10,3.4929e-09,1.3154e-09,5.6751e-09
6.3096e+08,3.0580e-10,3.4731e-09,1.3934e-09,5.6434e-09
7.0795e+08,3.2393e-10,3.4497e-09,1.4759e-09,5.6054e-09
7.9433e+08,3.4314e-10,3.4220e-09,1.5634e-09,5.5603e-09
8.9125e+08,3.6348e-10,3.3891e-09,1.6560e-09,5.5069e-09
1.0000e+09,3.8503e-10,3.3501e-09,1.7542e-09,5.4436e-09
