command,mean,stddev,median,user,system,min,max,parameter_threads
mpirun -n 1 athena -i ath-model-wr140.ath,1479.7143766010133,0.8616416318543341,1479.88444160468,1172.358451393333,303.67340048666665,1478.78038313268,1480.47830506568,1
mpirun -n 2 athena -i ath-model-wr140.ath,709.1379461500134,2.6462352066987687,709.82325108368,1124.0260487266667,290.38500682,706.21647057368,711.37411679268,2
mpirun -n 3 athena -i ath-model-wr140.ath,400.72398457134665,3.570018290175152,400.47851626467997,1086.8800113933332,111.52909515333333,397.28303529668,404.41040215268,3
mpirun -n 4 athena -i ath-model-wr140.ath,286.52039489468,0.645125717512452,286.43745728967997,1062.1951663933332,79.92966748666667,285.92074888167997,287.20297851268,4
mpirun -n 5 athena -i ath-model-wr140.ath,247.03517581901335,0.3045797016806506,247.11402599468,1124.7904397266666,105.85204648666667,246.69892454968,247.29257691268,5
mpirun -n 6 athena -i ath-model-wr140.ath,195.04017131267997,0.12800802511316695,195.00685398867998,1082.258722393333,83.08442815333332,194.93211621668,195.18154373267998,6
mpirun -n 7 athena -i ath-model-wr140.ath,173.10481427601334,0.6796343591053242,173.28987540667998,1108.4106317266667,98.00037315333333,172.35181634167998,173.67275107967998,7
mpirun -n 8 athena -i ath-model-wr140.ath,150.2833846320133,0.9949946315786456,149.91139077968,1111.42988106,85.06638415333332,149.52798379568,151.41077932067998,8
mpirun -n 9 athena -i ath-model-wr140.ath,137.33884321667998,0.3504422159781063,137.29149180267999,1130.9635323933333,98.83591948666667,137.01448425668,137.71055359067998,9
mpirun -n 10 athena -i ath-model-wr140.ath,124.10175686767998,0.33493863721163675,123.95837185268,1146.368440393333,87.80926548666666,123.86237953768,124.48451921268,10
mpirun -n 11 athena -i ath-model-wr140.ath,117.33129935334667,0.5281380707680416,117.28855564268001,1181.9584297266665,101.39095548666667,116.82583199868,117.87951041868,11
mpirun -n 12 athena -i ath-model-wr140.ath,105.62491614834668,0.6521940582043665,105.29378208968001,1166.6687983933332,92.94032881999999,105.20471891968,106.37624743568,12
mpirun -n 13 athena -i ath-model-wr140.ath,100.78690426268001,0.4052285309646621,100.64012549668,1197.1358730599998,104.28405948666666,100.47551818168,101.24506910968,13
mpirun -n 14 athena -i ath-model-wr140.ath,94.17952479668001,0.6517920647023637,94.20688335668001,1211.1885707266665,95.49035815333332,93.51448422868,94.81720680468,14
mpirun -n 15 athena -i ath-model-wr140.ath,89.25234820601334,0.6209973993007376,89.03463121268001,1222.4282377266666,106.33864682,88.76952498668001,89.95288841868,15
mpirun -n 16 athena -i ath-model-wr140.ath,83.28908298268,0.06548529721329695,83.30734249168,1219.776640393333,102.17607681999999,83.21640586868,83.34350058768001,16
mpirun -n 17 athena -i ath-model-wr140.ath,82.14547124268,0.6744580627034812,82.11437556268001,1274.9346073933332,110.16608748666665,81.48709885568,82.83493930968001,17
mpirun -n 18 athena -i ath-model-wr140.ath,77.07106784234666,0.5246606811806491,77.00382053568,1268.5404667266664,106.52541382,76.58327306468,77.62610992668,18
mpirun -n 19 athena -i ath-model-wr140.ath,74.98861527868,0.1372493781256435,74.96192886168001,1295.99013606,116.28304048666666,74.86666891568001,75.13724805868,19
mpirun -n 20 athena -i ath-model-wr140.ath,71.80332323701334,0.12610476897559353,71.79026500268,1311.5736560599998,110.98265248666667,71.68425567968,71.93544902868001,20
mpirun -n 21 athena -i ath-model-wr140.ath,70.09316540468001,0.1727880092906965,70.07300410168,1335.4258267266664,122.56565148666668,69.93134248568,70.27514962668,21
mpirun -n 22 athena -i ath-model-wr140.ath,68.38826292468,0.22013911438623554,68.29016705768001,1368.6735137266667,120.83540615333334,68.23422434868,68.64039736768001,22
