t,x1,y1,x2,y2,sep
0.0,0.0,-22323213877880.977,-8.529636775884258e-05,11161606938940.49,4.2648183879421295e-05,33484820816821.465
2117.011701170117,0.0001000100010001,-22323208571606.105,-15846783990.269604,11161604285803.055,7923391995.134804,33484821294386.207
4234.023402340234,0.0002000200020002,-22323192652784.46,-31693560446.912678,11161596326392.232,15846780223.456347,33484822727080.16
6351.03510351035,0.0003000300030003,-22323166121424.973,-47540321836.30751,11161583060712.488,23770160918.15376,33484825114902.516
8468.046804680467,0.0004000400040004,-22323128977542.527,-63387060624.84337,11161564488771.266,31693530312.42169,33484828457851.93
10585.058505850584,0.0005000500050004999,-22323081221157.965,-79233769278.92601,11161540610578.984,39616884639.46301,33484832755926.547
12702.0702070207,0.0006000600060006,-22323022852298.066,-95080440264.98334,11161511426149.035,47540220132.49168,33484838009123.934
14819.081908190818,0.0007000700070006999,-22322953870995.58,-110927066049.47069,11161476935497.791,55463533024.73535,33484844217441.156
16936.093609360934,0.0008000800080008,-22322874277289.207,-126773639098.87672,11161437138644.605,63386819549.43838,33484851380874.734
19053.10531053105,0.0009000900090008999,-22322784071223.586,-142620151879.72842,11161392035611.795,71310075939.86423,33484859499420.633
21170.117011701168,0.0010001000100009999,-22322683252849.332,-158466596858.5971,11161341626424.668,79233298429.29857,33484868573074.312
23287.128712871287,0.0011001100110011,-22322571822223.0,-174312966502.1038,11161285911111.502,87156483251.05191,33484878601830.69
25404.1404140414,0.0012001200120012,-22322449779407.094,-190159253276.92435,11161224889703.549,95079626638.46219,33484889585684.12
27521.152115211517,0.0013001300130013,-22322317124470.074,-206005449649.7955,11161158562235.04,103002724824.89777,33484901524628.45
29638.163816381635,0.0014001400140013999,-22322173857486.367,-221851548087.5202,11161086928743.186,110925774043.76012,33484914418656.984
31755.175517551754,0.0015001500150015,-22322019978536.336,-237697541056.9731,11161009989268.17,118848770528.48659,33484928267762.492
33872.18721872187,0.0016001600160016,-22321855487706.293,-253543421025.10593,11160927743853.148,126771710512.55296,33484943071937.19
35989.198919891984,0.0017001700170017,-22321680385088.523,-269389180458.95316,11160840192544.264,134694590229.47661,33484958831172.79
38106.2106210621,0.0018001800180017999,-22321494670781.25,-285234811825.6378,11160747335390.627,142617405912.81894,33484975545460.453
40223.22232223222,0.0019001900190019,-22321298344888.65,-301080307592.3761,11160649172444.326,150540153796.18808,33484993214790.78
42340.234023402336,0.0020002000200019998,-22321091407520.855,-316925660226.4842,11160545703760.43,158462830113.24213,33485011839153.883
44457.24572457245,0.0021002100210020997,-22320873858793.953,-332770862195.38245,11160436929396.979,166385431097.69125,33485031418539.31
46574.25742574257,0.0022002200220022,-22320645698829.973,-348615905966.60175,11160322849414.988,174307952983.3009,33485051952936.062
48691.26912691269,0.0023002300230023,-22320406927756.902,-364460784007.78894,11160203463878.453,182230392003.8945,33485073442332.637
50808.2808280828,0.0024002400240024,-22320157545708.688,-380305488786.7121,11160078772854.346,190152744393.35608,33485095886716.973
52925.29252925292,0.0025002500250025,-22319897552825.215,-396150012771.2656,11159948776412.61,198075006385.63284,33485119286076.49
55042.30423042303,0.0026002600260026,-22319626949252.332,-411994348429.47736,11159813474626.168,205997174214.7387,33485143640398.047
57159.315931593155,0.0027002700270027003,-22319345735141.83,-427838488229.5121,11159672867570.916,213919244114.75607,33485168949667.996
59276.32763276327,0.0028002800280027998,-22319053910651.45,-443682424639.67847,11159526955325.727,221841212319.8393,33485195213872.12
61393.339333933385,0.0029002900290028997,-22318751475944.895,-459526150128.43353,11159375737972.45,229763075064.2168,33485222432995.723
63510.35103510351,0.003000300030003,-22318438431191.812,-475369657164.3894,11159219215595.908,237684828582.19476,33485250607023.496
65627.36273627362,0.0031003100310030996,-22318114776567.797,-491212938216.3175,11159057388283.9,245606469108.1588,33485279735939.664
67744.37443744374,0.0032003200320032,-22317780512254.4,-507055985753.15497,11158890256127.201,253527992876.57748,33485309819727.87
69861.38613861386,0.0033003300330033004,-22317435638439.113,-522898792244.01,11158717819219.559,261449396122.005,33485340858371.23
71978.39783978397,0.0034003400340034,-22317080155315.406,-538741350158.16675,11158540077657.705,269370675079.0834,33485372851852.37
74095.40954095409,0.0035003500350035003,-22316714063082.664,-554583651965.0923,11158357031541.334,277291825982.5462,33485405800153.33
76212.4212421242,0.0036003600360035998,-22316337361946.234,-570425690134.44,11158168680973.12,285212845067.22003,33485439703255.6
78329.43294329432,0.0037003700370036997,-22315950052117.42,-586267457136.057,11157975026058.713,293133728568.02856,33485474561140.19
80446.44464446444,0.0038003800380038,-22315552133813.477,-602108945439.989,11157776066906.74,301054472719.9945,33485510373787.555
82563.45634563455,0.0039003900390038996,-22315143607257.586,-617950147516.4846,11157571803628.795,308975073758.2424,33485547141177.58
84680.46804680467,0.0040004000400039996,-22314724472678.906,-633791055836.0033,11157362236339.455,316895527918.0017,33485584863289.656
86797.4797479748,0.0041004100410041,-22314294730312.527,-649631662869.2191,11157147365156.266,324815831434.6096,33485623540102.633
88914.4914491449,0.0042004200420041994,-22313854380399.496,-665471961087.026,11156927190199.75,332735980543.51306,33485663171594.8
91031.50315031502,0.0043004300430043,-22313403423186.805,-681311942960.5454,11156701711593.404,340655971480.27277,33485703757743.94
93148.51485148515,0.0044004400440044,-22312941858927.39,-697151600961.1284,11156470929463.697,348575800480.5643,33485745298527.3
95265.52655265525,0.0045004500450045,-22312469687880.137,-712990927560.3643,11156234843940.07,356495463780.1822,33485787793921.543
97382.53825382538,0.0046004600460046,-22311986910309.887,-728829915230.0854,11155993455154.945,364414957615.0428,33485831243902.863
99499.54995499548,0.0047004700470047,-22311493526487.414,-744668556442.3706,11155746763243.709,372334278221.18536,33485875648446.895
101616.5616561656,0.0048004800480048,-22310989536689.453,-760506843669.554,11155494768344.729,380253421834.77704,33485921007528.715
103733.57335733573,0.0049004900490049,-22310474941198.67,-776344769384.2272,11155237470599.338,388172384692.11365,33485967321122.88
105850.58505850584,0.005000500050005,-22309949740303.695,-792182326059.2476,11154974870151.85,396091163029.62384,33486014589203.42
107967.59675967596,0.0051005100510051,-22309413934299.094,-808019506167.7423,11154706967149.549,404009753083.8713,33486062811743.836
110084.60846084607,0.0052005200520052,-22308867523485.38,-823856302183.1143,11154433761742.69,411928151091.5571,33486111988717.08
112201.62016201619,0.0053005300530053,-22308310508168.996,-839692706579.0466,11154155254084.5,419846353289.5234,33486162120095.543
114318.63186318631,0.0054005400540054005,-22307742888662.363,-855528711829.51,11153871444331.182,427764355914.755,33486213205851.145
116435.64356435642,0.0055005500550055,-22307164665283.824,-871364310408.7667,11153582332641.914,435682155204.3834,33486265245955.215
118552.65526552654,0.0056005600560055996,-22306575838357.668,-887199494791.3777,11153287919178.836,443599747395.6889,33486318240378.566
120669.66696669666,0.0057005700570057,-22305976408214.133,-903034257452.2052,11152988204107.068,451517128726.10266,33486372189091.49
122786.67866786677,0.0058005800580057994,-22305366375189.395,-918868590866.4215,11152683187594.7,459434295433.2109,33486427092063.72
124903.69036903689,0.0059005900590059,-22304745739625.58,-934702487509.5123,11152372869812.791,467351243754.7562,33486482949264.457
127020.70207020701,0.006000600060006,-22304114501870.75,-950535939857.2834,11152057250935.377,475267969928.64185,33486539760662.395
129137.71377137712,0.0061006100610061,-22303472662278.918,-966368940385.8656,11151736331139.459,483184470192.9328,33486597526225.652
131254.72547254723,0.006200620062006199,-22302820221210.027,-982201481571.7201,11151410110605.016,491100740785.8601,33486656245921.86
133371.73717371735,0.0063006300630063,-22302157179029.977,-998033555891.6444,11151078589514.988,499016777945.8222,33486715919718.062
135488.74887488747,0.0064006400640064,-22301483536110.594,-1013865155822.7776,11150741768055.299,506932577911.3888,33486776547580.8
137605.7605760576,0.0065006500650065,-22300799292829.66,-1029696273842.6052,11150399646414.832,514848136921.30273,33486838129476.094
139722.77227722772,0.006600660066006601,-22300104449570.883,-1045526902428.9672,11150052224785.443,522763451214.4836,33486900665369.38
141839.7839783978,0.006700670067006699,-22299399006723.92,-1061357034060.0594,11149699503361.963,530678517030.0298,33486964155225.605
143956.79567956793,0.0068006800680068,-22298682964684.375,-1077186661214.4435,11149341482342.188,538593330607.22174,33487028599009.164
146073.80738073806,0.0069006900690069,-22297956323853.77,-1093015776371.0477,11148978161926.887,546507888185.524,33487093996683.92
148190.81908190818,0.0070007000700070005,-22297219084639.58,-1108844372009.1777,11148609542319.791,554422186004.589,33487160348213.19
150307.8307830783,0.0071007100710071,-22296471247455.227,-1124672440608.517,11148235623727.615,562336220304.2587,33487227653559.793
152424.8424842484,0.0072007200720071995,-22295712812720.05,-1140499974649.1362,11147856406360.027,570249987324.5682,33487295912685.953
154541.85418541852,0.0073007300730073,-22294943780859.34,-1156326966611.4958,11147471890429.672,578163483305.748,33487365125553.414
156658.86588658864,0.0074007400740073994,-22294164152304.33,-1172153408976.4531,11147082076152.166,586076704488.2266,33487435292123.363
158775.87758775876,0.0075007500750075,-22293373927492.17,-1187979294225.2686,11146686963746.088,593989647112.6344,33487506412356.465
160892.88928892888,0.0076007600760076,-22292573106865.97,-1203804614839.6096,11146286553432.986,601902307419.8049,33487578486212.836
163009.900990099,0.007700770077007701,-22291761690874.75,-1219629363301.5554,11145880845437.377,609814681650.7778,33487651513652.03
165126.9126912691,0.007800780078007799,-22290939679973.484,-1235453532093.6057,11145469839986.744,617726766046.803,33487725494633.145
167243.92439243922,0.0079007900790079,-22290107074623.082,-1251277113698.6833,11145053537311.543,625638556849.3418,33487800429114.676
169360.93609360934,0.008000800080007999,-22289263875290.387,-1267100100600.1409,11144631937645.195,633550050300.0706,33487876317054.637
171477.94779477947,0.0081008100810081,-22288410082448.156,-1282922485281.7651,11144205041224.08,641461242640.8827,33487953158410.426
173594.9594959496,0.0082008200820082,-22287545696575.1,-1298744260227.7852,11143772848287.553,649372130113.8927,33488030953138.99
175711.97119711968,0.008300830083008299,-22286670718155.87,-1314565417922.874,11143335359077.938,657282708961.4371,33488109701196.73
177828.9828982898,0.008400840084008399,-22285785147681.027,-1330385950852.1582,11142892573840.516,665192975426.0792,33488189402539.47
179945.99459945993,0.0085008500850085,-22284888985647.082,-1346205851501.2192,11142444492823.543,673102925750.6097,33488270057122.53
182063.00630063005,0.0086008600860086,-22283982232556.457,-1362025112356.1023,11141991116278.23,681012556178.0513,33488351664900.68
184180.01800180017,0.0087008700870087,-22283064888917.523,-1377843725903.3203,11141532444458.764,688921862951.6603,33488434225828.184
186297.0297029703,0.0088008800880088,-22282136955244.586,-1393661684629.8599,11141068477622.295,696830842314.93,33488517739858.754
188414.0414041404,0.008900890089008899,-22281198432057.86,-1409478981023.1846,11140599216028.932,704739490511.5924,33488602206945.56
190531.0531053105,0.009000900090009,-22280249319883.504,-1425295607571.2463,11140124659941.754,712647803785.6233,33488687627041.24
192648.06480648063,0.0091009100910091,-22279289619253.6,-1441111556762.4832,11139644809626.803,720555778381.2417,33488774000097.934
194765.07650765075,0.0092009200920092,-22278319330706.168,-1456926821085.83,11139159665353.086,728463410542.9152,33488861326067.207
196882.08820882087,0.0093009300930093,-22277338454785.14,-1472741393030.7227,11138669227392.57,736370696515.3615,33488949604900.098
198999.09990999097,0.0094009400940094,-22276346992040.383,-1488555265087.1038,11138173496020.193,744277632543.552,33489038836547.13
201116.1116111611,0.0095009500950095,-22275344943027.69,-1504368429745.4258,11137672471513.848,752184214872.713,33489129020958.26
203233.1233123312,0.0096009600960096,-22274332308308.79,-1520180879496.6604,11137166154154.396,760090439748.3304,33489220158082.973
205350.13501350133,0.0097009700970097,-22273309088451.31,-1535992606832.301,11136654544225.656,767996303416.1506,33489312247870.15
207467.14671467146,0.0098009800980098,-22272275284028.83,-1551803604244.3699,11136137642014.416,775901802122.185,33489405290268.168
209584.15841584155,0.0099009900990099,-22271230895620.836,-1567613864225.423,11135615447810.42,783806932112.7118,33489499285224.883
211701.17011701167,0.01000100010001,-22270175923812.758,-1583423379268.5547,11135087961906.38,791711689634.2775,33489594232687.61
213818.1818181818,0.0101010101010101,-22269110369195.92,-1599232141867.4053,11134555184597.963,799616070933.7028,33489690132603.12
215935.19351935192,0.0102010201020102,-22268034232367.594,-1615040144516.164,11134017116183.799,807520072258.0822,33489786984917.67
218052.20522052204,0.010301030103010301,-22266947513930.96,-1630847379709.575,11133473756965.482,815423689854.7876,33489884789576.973
220169.21692169213,0.0104010401040104,-22265850214495.125,-1646653839942.9465,11132925107247.564,823326919971.4735,33489983546526.203
222286.22862286225,0.0105010501050105,-22264742334675.1,-1662459517712.1501,11132371167337.553,831229758856.0753,33490083255709.996
224403.24032403238,0.0106010601060106,-22263623875091.848,-1678264405513.6309,11131811937545.926,839132202756.8156,33490183917072.492
226520.2520252025,0.0107010701070107,-22262494836372.22,-1694068495844.4106,11131247418186.111,847034247922.2054,33490285530557.254
228637.26372637262,0.010801080108010801,-22261355219149.004,-1709871781202.0962,11130677609574.504,854935890601.0482,33490388096107.348
230754.27542754274,0.010901090109010901,-22260205024060.9,-1725674254084.8794,11130102512030.451,862837127042.4398,33490491613665.28
232871.28712871284,0.011001100110011,-22259044251752.516,-1741475906991.5493,11129522125876.26,870737953495.7749,33490596083173.043
234988.29882988296,0.0111011101110111,-22257872902874.395,-1757276732421.4917,11128936451437.2,878638366210.746,33490701504572.07
237105.31053105308,0.011201120112011199,-22256690978082.98,-1773076722874.699,11128345489041.492,886538361437.3496,33490807877803.29
239222.3222322232,0.0113011301130113,-22255498478040.637,-1788875870851.7727,11127749239020.32,894437935425.8866,33490915202807.1
241339.33393339333,0.0114011401140114,-22254295403415.645,-1804674168853.9302,11127147701707.824,902337084426.9653,33491023479523.355
243456.34563456342,0.011501150115011499,-22253081754882.19,-1820471609383.0115,11126540877441.098,910235804691.5059,33491132707891.36
245573.35733573354,0.011601160116011599,-22251857533120.387,-1836268184941.482,11125928766560.195,918134092470.7412,33491242887849.926
