t,x1,y1,x2,y2,sep
1140369.396939694,0.0046004600460046,-11112684898895.605,-17290094198265.36,4612228551352.216,7176111519614.313,29083812082452.203
1165160.0360036003,0.0047004700470047005,-10927566595490.363,-17603213289441.926,4535396720690.986,7306069025422.972,29318519402575.758
1189950.6750675067,0.0048004800480048,-10740650997890.428,-17913437524419.844,4457818937843.103,7434825044954.197,29555505471457.008
1214741.3141314131,0.0049004900490049,-10552010997502.31,-18220786173738.453,4379525455787.867,7562387576286.992,29794677871726.26
1239531.9531953195,0.005000500050005001,-10361717346058.182,-18525279765183.934,4300545639450.332,7688765139310.325,30035946898858.617
1264322.592259226,0.0051005100510051,-10169838677776.992,-18826939969249.87,4220907974899.086,7813966728184.486,30279225533076.477
1289113.2313231323,0.005200520052005201,-9976441535812.504,-19125789490565.13,4140640080323.2944,7938001766279.121,30524429405816.56
1313903.8703870387,0.0053005300530053,-9781590402448.07,-19421851965190.676,4059768718564.7983,8060880063547.105,30771476761446.72
1338694.509450945,0.0054005400540054,-9585347732536.785,-19715151863659.777,3978319810997.1616,8182611776282.192,31020288414867.844
1363485.1485148515,0.0055005500550055,-9387773989723.22,-20005714399615.746,3896318452559.22,8303207369199.852,31270787705589.176
1388275.7875787579,0.0056005600560056,-9188927685019.951,-20293565443882.957,3813788927765.942,8422677579773.149,31522900448818.098
1413066.4266426642,0.005700570057005701,-8988865417346.854,-20578731443793.625,3730754727533.9316,8541033384750.002,31776554884061.043
1437857.0657065706,0.0058005800580058,-8787641915675.675,-20861239347582.375,3647238566673.1914,8658285968773.743,32031681621689.652
1462647.704770477,0.005900590059005901,-8585310082453.615,-21141116533652.375,3563262401909.718,8774446695025.637,32288213587884.69
1487438.3438343834,0.006000600060006,-8381921038011.07,-21418390744512.29,3478847450316.5723,8889527077805.936,32546085968332.668
1512228.9828982898,0.006100610061006101,-8177524165686.0625,-21693090025180.535,3394014208042.405,9003538756969.08,32805236151013.56
1537019.6219621962,0.0062006200620062,-7972167157426.005,-21965242665851.16,3308782469238.0913,9116493474127.639,33065603668383.21
