t,x1,y1,x2,y2,sep
240216.0216021602,0.005000500050005001,-40990851901507.08,-1288318333845.0015,20495425950753.54,644159166922.5007,61516638671308.81
245020.3420342034,0.0051005100510051,-40990034253434.14,-1314075965423.5505,20495017126717.07,657037982711.7753,61516638671308.83
249824.6624662466,0.0052005200520052,-40989200419907.9,-1339833078121.9487,20494600209953.95,669916539060.9744,61516638671308.81
254628.98289828983,0.005300530053005301,-40988350401257.62,-1365589661769.662,20494175200628.81,682794830884.831,61516638671308.83
259433.30333033303,0.0054005400540054005,-40987484197818.93,-1391345706196.364,20493742098909.465,695672853098.182,61516638671308.8
264237.62376237626,0.005500550055005501,-40986601809933.875,-1417101201231.9436,20493300904966.938,708550600615.9718,61516638671308.83
269041.9441944194,0.0056005600560056,-40985703237950.87,-1442856136706.5051,20492851618975.434,721428068353.2526,61516638671308.81
273846.26462646265,0.005700570057005701,-40984788482224.72,-1468610502450.3735,20492394241112.36,734305251225.1868,61516638671308.81
278650.5850585058,0.0058005800580058,-40983857543116.64,-1494364288294.0996,20491928771558.32,747182144147.0498,61516638671308.81
283454.90549054905,0.005900590059005901,-40982910420994.23,-1520117484068.463,20491455210497.113,760058742034.2314,61516638671308.83
288259.2259225923,0.006000600060006001,-40981947116231.45,-1545870079604.476,20490973558115.727,772935039802.238,61516638671308.81
293063.54635463544,0.006100610061006101,-40980967629208.695,-1571622064733.388,20490483814604.348,785811032366.694,61516638671308.81
297867.8667866787,0.006200620062006201,-40979971960312.72,-1597373429286.69,20489985980156.36,798686714643.345,61516638671308.81
302672.18721872184,0.0063006300630063,-40978960109936.67,-1623124163096.1162,20489480054968.336,811562081548.0581,61516638671308.8
307476.50765076507,0.006400640064006401,-40977932078480.11,-1648874255993.6533,20488966039240.055,824437127996.8267,61516638671308.81
312280.8280828083,0.006500650065006501,-40976887866348.945,-1674623697811.5376,20488443933174.473,837311848905.7688,61516638671308.8
317085.14851485146,0.0066006600660066,-40975827473955.516,-1700372478382.2634,20487913736977.758,850186239191.1317,61516638671308.81
321889.4689468947,0.0067006700670067,-40974750901718.52,-1726120587538.588,20487375450859.26,863060293769.294,61516638671308.81
326693.78937893786,0.0068006800680068,-40973658150063.07,-1751868015113.5312,20486829075031.535,875934007556.7656,61516638671308.83
331498.1098109811,0.006900690069006902,-40972549219420.64,-1777614750940.3845,20486274609710.32,888807375470.1923,61516638671308.81
336302.4302430243,0.0070007000700070005,-40971424110229.11,-1803360784852.7092,20485712055114.555,901680392426.3546,61516638671308.81
341106.7506750675,0.0071007100710071,-40970282822932.74,-1829106106684.347,20485141411466.37,914553053342.1735,61516638671308.81
345911.0711071107,0.0072007200720072,-40969125357982.195,-1854850706269.4194,20484562678991.098,927425353134.7097,61516638671308.81
350715.3915391539,0.0073007300730073,-40967951715834.5,-1880594573442.333,20483975857917.25,940297286721.1665,61516638671308.81
355519.7119711971,0.0074007400740074,-40966761896953.09,-1906337698037.7837,20483380948476.547,953168849018.8918,61516638671308.83
360324.03240324033,0.007500750075007501,-40965555901807.79,-1932080069890.7615,20482777950903.895,966040034945.3807,61516638671308.83
