1.000000000000000000e+06 1.545158587447520180e-07 7.509049269876596444e-40 0.000000000000000000e+00 1.545158587447520180e-07
1.006938631476027076e+06 1.662554644505454185e-07 1.061384752080679640e-39 0.000000000000000000e+00 1.662554644505454185e-07
1.013925407558814273e+06 1.788549525291405362e-07 1.499029319592323390e-39 0.000000000000000000e+00 1.788549525291405362e-07
1.020960662306047510e+06 1.923748811742781329e-07 2.115424891991429975e-39 0.000000000000000000e+00 1.923748811742781329e-07
1.028044732093309751e+06 2.068798963630779235e-07 2.982882173207816683e-39 0.000000000000000000e+00 2.068798963630779235e-07
1.035177955630176235e+06 2.224389953315427039e-07 4.202680700673954722e-39 0.000000000000000000e+00 2.224389953315427039e-07
1.042360673976401100e+06 2.391258061903491393e-07 5.916560408442510875e-39 0.000000000000000000e+00 2.391258061903491393e-07
1.049593230558226584e+06 2.570188846152505169e-07 8.322726450099164331e-39 0.000000000000000000e+00 2.570188846152505169e-07
1.056875971184805036e+06 2.762020285969969702e-07 1.169812199454942916e-38 0.000000000000000000e+00 2.762020285969969702e-07
1.064209244064724538e+06 2.967646122890121079e-07 1.642939895953041044e-38 0.000000000000000000e+00 2.967646122890121079e-07
1.071593399822671199e+06 3.188019400470211470e-07 2.305594906117155720e-38 0.000000000000000000e+00 3.188019400470211470e-07
1.079028791516183643e+06 3.424156218134542472e-07 3.232964404158838689e-38 0.000000000000000000e+00 3.424156218134542472e-07
1.086515774652537191e+06 3.677139710611975022e-07 4.529770752887754032e-38 0.000000000000000000e+00 3.677139710611975022e-07
1.094054707205743529e+06 3.948124265759709547e-07 6.341758417749888684e-38 0.000000000000000000e+00 3.948124265759709547e-07
1.101645949633657001e+06 4.238339994243592234e-07 8.871603466289156967e-38 0.000000000000000000e+00 4.238339994243592234e-07
1.109289864895222709e+06 4.549097465260899072e-07 1.240093103292387160e-37 0.000000000000000000e+00 4.549097465260899072e-07
1.116986818467822624e+06 4.881792723234054651e-07 1.732076176028860937e-37 0.000000000000000000e+00 4.881792723234054651e-07
1.124737178364750696e+06 5.237912601191953483e-07 2.417358107014408504e-37 0.000000000000000000e+00 5.237912601191953483e-07
1.132541315152812749e+06 5.619040347374196753e-07 3.371142275101200349e-37 0.000000000000000000e+00 5.619040347374196753e-07
1.140399601970033022e+06 6.026861582455380614e-07 4.697600034571342784e-37 0.000000000000000000e+00 6.026861582455380614e-07
1.148312414543511113e+06 6.463170605691961969e-07 6.540916929145203534e-37 0.000000000000000000e+00 6.463170605691961969e-07
1.156280131207375322e+06 6.929877069235323608e-07 9.100508204304973664e-37 0.000000000000000000e+00 6.929877069235323608e-07
1.164303132920875680e+06 7.429013040850607233e-07 1.265196103222205166e-36 0.000000000000000000e+00 7.429013040850607233e-07
1.172381803286599694e+06 7.962740476316309721e-07 1.757583653160810077e-36 0.000000000000000000e+00 7.962740476316309721e-07
1.180516528568805661e+06 8.533359123868156847e-07 2.439725085575141262e-36 0.000000000000000000e+00 8.533359123868156847e-07
1.188707697711903369e+06 9.143314884189391672e-07 3.384022749402262668e-36 0.000000000000000000e+00 9.143314884189391672e-07
1.196955702359042829e+06 9.795208650640772882e-07 4.690227589210900549e-36 0.000000000000000000e+00 9.795208650640772882e-07
1.205260936870841309e+06 1.049180565567098048e-06 6.495664484116916542e-36 0.000000000000000000e+00 1.049180565567098048e-06
1.213623798344241688e+06 1.123604535065714049e-06 8.989241301643223721e-36 0.000000000000000000e+00 1.123604535065714049e-06
1.222044686631488614e+06 1.203105184778451579e-06 1.243062712173083668e-35 0.000000000000000000e+00 1.203105184778451579e-06
1.230524004359261598e+06 1.288014495401265505e-06 1.717648700422224932e-35 0.000000000000000000e+00 1.288014495401265505e-06
1.239062156947915675e+06 1.378685182866026244e-06 2.371634246573973556e-35 0.000000000000000000e+00 1.378685182866026244e-06
1.247659552630868508e+06 1.475491929771117985e-06 3.272155225649053451e-35 0.000000000000000000e+00 1.475491929771117985e-06
1.256316602474121377e+06 1.578832685957559639e-06 4.511216318949922693e-35 0.000000000000000000e+00 1.578832685957559639e-06
1.265033720395903802e+06 1.689130041874558423e-06 6.214808187260241560e-35 0.000000000000000000e+00 1.689130041874558423e-06
1.273811323186478578e+06 1.806832678557710382e-06 8.555332191704754732e-35 0.000000000000000000e+00 1.806832678557710382e-06
1.282649830528059974e+06 1.932416898228567194e-06 1.176851986764271620e-34 0.000000000000000000e+00 1.932416898228567194e-06
1.291549665014882805e+06 2.066388239719941193e-06 1.617645590788267308e-34 0.000000000000000000e+00 2.066388239719941193e-06
1.300511252173409797e+06 2.209283183134536201e-06 2.221888301173469744e-34 0.000000000000000000e+00 2.209283183134536201e-06
1.309535020482667722e+06 2.361670948356890393e-06 3.049573602454521025e-34 0.000000000000000000e+00 2.361670948356890393e-06
1.318621401394748595e+06 2.524155392261301914e-06 4.182489040379516298e-34 0.000000000000000000e+00 2.524155392261301914e-06
1.327770829355429159e+06 2.697377009688629878e-06 5.732050892843049811e-34 0.000000000000000000e+00 2.697377009688629878e-06
1.336983741824945202e+06 2.882015043508272006e-06 7.849925509946157687e-34 0.000000000000000000e+00 2.882015043508272006e-06
1.346260579298910918e+06 3.078789709332927470e-06 1.074241785807813986e-33 0.000000000000000000e+00 3.078789709332927470e-06
1.355601785329368897e+06 3.288464540716945261e-06 1.468994906018476494e-33 0.000000000000000000e+00 3.288464540716945261e-06
1.365007806546013802e+06 3.511848860944965823e-06 2.007340343552396392e-33 0.000000000000000000e+00 3.511848860944965823e-06
