# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 5.000e-02
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
1.000e+00,1.651e-20,1.000e+00,6.917e-17,1.651e-20,1.000e+00,6.917e-17,1.345e-18
1.109e+00,1.929e-20,1.000e+00,8.080e-17,1.929e-20,1.000e+00,8.080e-17,1.571e-18
1.230e+00,2.253e-20,1.000e+00,9.439e-17,2.253e-20,1.000e+00,9.439e-17,1.836e-18
1.365e+00,2.632e-20,1.000e+00,1.103e-16,2.632e-20,1.000e+00,1.103e-16,2.144e-18
1.514e+00,3.075e-20,1.000e+00,1.288e-16,3.075e-20,1.000e+00,1.288e-16,2.505e-18
1.679e+00,3.592e-20,1.000e+00,1.505e-16,3.592e-20,1.000e+00,1.505e-16,2.926e-18
1.862e+00,4.196e-20,1.000e+00,1.758e-16,4.196e-20,1.000e+00,1.758e-16,3.418e-18
2.065e+00,4.901e-20,1.000e+00,2.053e-16,4.901e-20,1.000e+00,2.053e-16,3.993e-18
2.291e+00,5.725e-20,1.000e+00,2.398e-16,5.725e-20,1.000e+00,2.398e-16,4.664e-18
2.541e+00,6.688e-20,1.000e+00,2.802e-16,6.688e-20,1.000e+00,2.802e-16,5.449e-18
2.818e+00,7.813e-20,1.000e+00,3.273e-16,7.813e-20,1.000e+00,3.273e-16,6.365e-18
3.126e+00,9.127e-20,1.000e+00,3.823e-16,9.127e-20,1.000e+00,3.823e-16,7.435e-18
3.467e+00,1.066e-19,1.000e+00,4.466e-16,1.066e-19,1.000e+00,4.466e-16,8.685e-18
3.846e+00,1.245e-19,1.000e+00,5.217e-16,1.245e-19,1.000e+00,5.217e-16,1.015e-17
4.266e+00,1.455e-19,1.000e+00,6.094e-16,1.455e-19,1.000e+00,6.094e-16,1.185e-17
4.732e+00,1.699e-19,1.000e+00,7.119e-16,1.699e-19,1.000e+00,7.119e-16,1.384e-17
5.248e+00,1.985e-19,1.000e+00,8.316e-16,1.985e-19,1.000e+00,8.316e-16,1.617e-17
5.821e+00,2.319e-19,1.000e+00,9.715e-16,2.319e-19,1.000e+00,9.715e-16,1.889e-17
6.457e+00,2.709e-19,1.000e+00,1.135e-15,2.709e-19,1.000e+00,1.135e-15,2.207e-17
7.161e+00,3.165e-19,1.000e+00,1.326e-15,3.165e-19,1.000e+00,1.326e-15,2.578e-17
7.943e+00,3.697e-19,1.000e+00,1.549e-15,3.697e-19,1.000e+00,1.549e-15,3.012e-17
8.810e+00,4.318e-19,1.000e+00,1.809e-15,4.318e-19,1.000e+00,1.809e-15,3.518e-17
9.772e+00,5.044e-19,1.000e+00,2.113e-15,5.044e-19,1.000e+00,2.113e-15,4.110e-17
1.084e+01,5.893e-19,1.000e+00,2.468e-15,5.893e-19,1.000e+00,2.468e-15,4.801e-17
1.202e+01,6.883e-19,1.000e+00,2.884e-15,6.883e-19,1.000e+00,2.884e-15,5.608e-17
1.334e+01,8.041e-19,1.000e+00,3.368e-15,8.041e-19,1.000e+00,3.368e-15,6.551e-17
1.479e+01,9.393e-19,1.000e+00,3.935e-15,9.393e-19,1.000e+00,3.935e-15,7.652e-17
1.641e+01,1.097e-18,1.000e+00,4.596e-15,1.097e-18,1.000e+00,4.596e-15,8.939e-17
1.820e+01,1.282e-18,1.000e+00,5.369e-15,1.282e-18,1.000e+00,5.369e-15,1.044e-16
2.018e+01,1.497e-18,1.000e+00,6.272e-15,1.497e-18,1.000e+00,6.272e-15,1.220e-16
2.239e+01,1.749e-18,1.000e+00,7.327e-15,1.749e-18,1.000e+00,7.327e-15,1.425e-16
