# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 5.000e-01
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
1.000e+00,1.651e-18,1.000e+00,6.917e-15,1.651e-18,1.000e+00,6.917e-15,1.345e-16
1.109e+00,1.929e-18,1.000e+00,8.080e-15,1.929e-18,1.000e+00,8.080e-15,1.571e-16
1.230e+00,2.253e-18,1.000e+00,9.439e-15,2.253e-18,1.000e+00,9.439e-15,1.836e-16
1.365e+00,2.632e-18,1.000e+00,1.103e-14,2.632e-18,1.000e+00,1.103e-14,2.144e-16
1.514e+00,3.075e-18,1.000e+00,1.288e-14,3.075e-18,1.000e+00,1.288e-14,2.505e-16
1.679e+00,3.592e-18,1.000e+00,1.505e-14,3.592e-18,1.000e+00,1.505e-14,2.926e-16
1.862e+00,4.196e-18,1.000e+00,1.758e-14,4.196e-18,1.000e+00,1.758e-14,3.418e-16
2.065e+00,4.901e-18,1.000e+00,2.053e-14,4.901e-18,1.000e+00,2.053e-14,3.993e-16
2.291e+00,5.725e-18,1.000e+00,2.398e-14,5.725e-18,1.000e+00,2.398e-14,4.664e-16
2.541e+00,6.688e-18,1.000e+00,2.802e-14,6.688e-18,1.000e+00,2.802e-14,5.449e-16
2.818e+00,7.813e-18,1.000e+00,3.273e-14,7.813e-18,1.000e+00,3.273e-14,6.365e-16
3.126e+00,9.127e-18,1.000e+00,3.823e-14,9.127e-18,1.000e+00,3.823e-14,7.435e-16
3.467e+00,1.066e-17,1.000e+00,4.466e-14,1.066e-17,1.000e+00,4.466e-14,8.685e-16
3.846e+00,1.245e-17,1.000e+00,5.217e-14,1.245e-17,1.000e+00,5.217e-14,1.015e-15
4.266e+00,1.455e-17,1.000e+00,6.094e-14,1.455e-17,1.000e+00,6.094e-14,1.185e-15
4.732e+00,1.699e-17,1.000e+00,7.119e-14,1.699e-17,1.000e+00,7.119e-14,1.384e-15
5.248e+00,1.985e-17,1.000e+00,8.316e-14,1.985e-17,1.000e+00,8.316e-14,1.617e-15
5.821e+00,2.319e-17,1.000e+00,9.715e-14,2.319e-17,1.000e+00,9.715e-14,1.889e-15
6.457e+00,2.709e-17,1.000e+00,1.135e-13,2.709e-17,1.000e+00,1.135e-13,2.207e-15
7.161e+00,3.165e-17,1.000e+00,1.326e-13,3.165e-17,1.000e+00,1.326e-13,2.578e-15
7.943e+00,3.697e-17,1.000e+00,1.549e-13,3.697e-17,1.000e+00,1.549e-13,3.012e-15
8.810e+00,4.318e-17,1.000e+00,1.809e-13,4.318e-17,1.000e+00,1.809e-13,3.518e-15
9.772e+00,5.044e-17,1.000e+00,2.113e-13,5.044e-17,1.000e+00,2.113e-13,4.110e-15
1.084e+01,5.893e-17,1.000e+00,2.468e-13,5.893e-17,1.000e+00,2.468e-13,4.801e-15
