# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 5.000e-03
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
1.000e+00,1.651e-22,1.000e+00,6.917e-19,1.651e-22,1.000e+00,6.917e-19,1.345e-20
1.109e+00,1.929e-22,1.000e+00,8.080e-19,1.929e-22,1.000e+00,8.080e-19,1.571e-20
1.230e+00,2.253e-22,1.000e+00,9.439e-19,2.253e-22,1.000e+00,9.439e-19,1.836e-20
1.365e+00,2.632e-22,1.000e+00,1.103e-18,2.632e-22,1.000e+00,1.103e-18,2.144e-20
1.514e+00,3.075e-22,1.000e+00,1.288e-18,3.075e-22,1.000e+00,1.288e-18,2.505e-20
1.679e+00,3.592e-22,1.000e+00,1.505e-18,3.592e-22,1.000e+00,1.505e-18,2.926e-20
1.862e+00,4.196e-22,1.000e+00,1.758e-18,4.196e-22,1.000e+00,1.758e-18,3.418e-20
2.065e+00,4.901e-22,1.000e+00,2.053e-18,4.901e-22,1.000e+00,2.053e-18,3.993e-20
2.291e+00,5.725e-22,1.000e+00,2.398e-18,5.725e-22,1.000e+00,2.398e-18,4.664e-20
2.541e+00,6.688e-22,1.000e+00,2.802e-18,6.688e-22,1.000e+00,2.802e-18,5.449e-20
2.818e+00,7.813e-22,1.000e+00,3.273e-18,7.813e-22,1.000e+00,3.273e-18,6.365e-20
3.126e+00,9.127e-22,1.000e+00,3.823e-18,9.127e-22,1.000e+00,3.823e-18,7.435e-20
3.467e+00,1.066e-21,1.000e+00,4.466e-18,1.066e-21,1.000e+00,4.466e-18,8.685e-20
3.846e+00,1.245e-21,1.000e+00,5.217e-18,1.245e-21,1.000e+00,5.217e-18,1.015e-19
4.266e+00,1.455e-21,1.000e+00,6.094e-18,1.455e-21,1.000e+00,6.094e-18,1.185e-19
4.732e+00,1.699e-21,1.000e+00,7.119e-18,1.699e-21,1.000e+00,7.119e-18,1.384e-19
5.248e+00,1.985e-21,1.000e+00,8.316e-18,1.985e-21,1.000e+00,8.316e-18,1.617e-19
5.821e+00,2.319e-21,1.000e+00,9.715e-18,2.319e-21,1.000e+00,9.715e-18,1.889e-19
6.457e+00,2.709e-21,1.000e+00,1.135e-17,2.709e-21,1.000e+00,1.135e-17,2.207e-19
7.161e+00,3.165e-21,1.000e+00,1.326e-17,3.165e-21,1.000e+00,1.326e-17,2.578e-19
7.943e+00,3.697e-21,1.000e+00,1.549e-17,3.697e-21,1.000e+00,1.549e-17,3.012e-19
8.810e+00,4.318e-21,1.000e+00,1.809e-17,4.318e-21,1.000e+00,1.809e-17,3.518e-19
9.772e+00,5.044e-21,1.000e+00,2.113e-17,5.044e-21,1.000e+00,2.113e-17,4.110e-19
1.084e+01,5.893e-21,1.000e+00,2.468e-17,5.893e-21,1.000e+00,2.468e-17,4.801e-19
1.202e+01,6.883e-21,1.000e+00,2.884e-17,6.883e-21,1.000e+00,2.884e-17,5.608e-19
1.334e+01,8.041e-21,1.000e+00,3.368e-17,8.041e-21,1.000e+00,3.368e-17,6.551e-19
1.479e+01,9.393e-21,1.000e+00,3.935e-17,9.393e-21,1.000e+00,3.935e-17,7.652e-19
1.641e+01,1.097e-20,1.000e+00,4.596e-17,1.097e-20,1.000e+00,4.596e-17,8.939e-19
1.820e+01,1.282e-20,1.000e+00,5.369e-17,1.282e-20,1.000e+00,5.369e-17,1.044e-18
2.018e+01,1.497e-20,1.000e+00,6.272e-17,1.497e-20,1.000e+00,6.272e-17,1.220e-18
2.239e+01,1.749e-20,1.000e+00,7.327e-17,1.749e-20,1.000e+00,7.327e-17,1.425e-18
2.483e+01,2.043e-20,1.000e+00,8.559e-17,2.043e-20,1.000e+00,8.559e-17,1.665e-18
2.754e+01,2.387e-20,1.000e+00,9.998e-17,2.387e-20,1.000e+00,9.998e-17,1.944e-18
3.055e+01,2.788e-20,1.000e+00,1.168e-16,2.788e-20,1.000e+00,1.168e-16,2.271e-18
3.388e+01,3.257e-20,1.000e+00,1.364e-16,3.257e-20,1.000e+00,1.364e-16,2.653e-18
3.758e+01,3.805e-20,1.000e+00,1.594e-16,3.805e-20,1.000e+00,1.594e-16,3.099e-18
4.169e+01,4.444e-20,1.000e+00,1.862e-16,4.444e-20,1.000e+00,1.862e-16,3.621e-18
4.624e+01,5.192e-20,1.000e+00,2.175e-16,5.192e-20,1.000e+00,2.175e-16,4.230e-18
5.129e+01,6.065e-20,1.000e+00,2.541e-16,6.065e-20,1.000e+00,2.541e-16,4.941e-18
5.689e+01,7.084e-20,1.000e+00,2.968e-16,7.084e-20,1.000e+00,2.968e-16,5.772e-18
6.310e+01,8.276e-20,1.000e+00,3.467e-16,8.276e-20,1.000e+00,3.467e-16,6.742e-18
6.998e+01,9.667e-20,1.000e+00,4.050e-16,9.667e-20,1.000e+00,4.050e-16,7.876e-18
7.762e+01,1.129e-19,1.000e+00,4.731e-16,1.129e-19,1.000e+00,4.731e-16,9.200e-18
8.610e+01,1.319e-19,1.000e+00,5.526e-16,1.319e-19,1.000e+00,5.526e-16,1.075e-17
9.550e+01,1.541e-19,1.000e+00,6.455e-16,1.541e-19,1.000e+00,6.455e-16,1.255e-17
1.059e+02,1.800e-19,1.000e+00,7.541e-16,1.800e-19,1.000e+00,7.541e-16,1.467e-17
1.175e+02,2.103e-19,1.000e+00,8.809e-16,2.103e-19,1.000e+00,8.809e-16,1.713e-17
1.303e+02,2.456e-19,1.000e+00,1.029e-15,2.456e-19,1.000e+00,1.029e-15,2.001e-17
1.445e+02,2.870e-19,1.000e+00,1.202e-15,2.870e-19,1.000e+00,1.202e-15,2.338e-17
1.603e+02,3.352e-19,1.000e+00,1.404e-15,3.352e-19,1.000e+00,1.404e-15,2.731e-17
1.778e+02,3.916e-19,1.000e+00,1.640e-15,3.916e-19,1.000e+00,1.640e-15,3.190e-17
1.972e+02,4.574e-19,1.000e+00,1.916e-15,4.574e-19,1.000e+00,1.916e-15,3.726e-17
2.188e+02,5.343e-19,1.000e+00,2.238e-15,5.343e-19,1.000e+00,2.238e-15,4.353e-17
2.427e+02,6.242e-19,1.000e+00,2.615e-15,6.242e-19,1.000e+00,2.615e-15,5.085e-17
2.692e+02,7.291e-19,1.000e+00,3.054e-15,7.291e-19,1.000e+00,3.054e-15,5.940e-17
2.985e+02,8.517e-19,1.000e+00,3.568e-15,8.517e-19,1.000e+00,3.568e-15,6.939e-17
3.311e+02,9.950e-19,1.000e+00,4.168e-15,9.950e-19,1.000e+00,4.168e-15,8.106e-17
3.673e+02,1.162e-18,1.000e+00,4.869e-15,1.162e-18,1.000e+00,4.869e-15,9.469e-17
4.074e+02,1.358e-18,1.000e+00,5.688e-15,1.358e-18,1.000e+00,5.688e-15,1.106e-16
4.519e+02,1.586e-18,1.000e+00,6.644e-15,1.586e-18,1.000e+00,6.644e-15,1.292e-16
5.012e+02,1.853e-18,1.000e+00,7.761e-15,1.853e-18,1.000e+00,7.761e-15,1.509e-16
5.559e+02,2.164e-18,1.000e+00,9.066e-15,2.164e-18,1.000e+00,9.066e-15,1.763e-16
6.166e+02,2.528e-18,1.000e+00,1.059e-14,2.528e-18,1.000e+00,1.059e-14,2.060e-16
6.839e+02,2.953e-18,1.000e+00,1.237e-14,2.953e-18,1.000e+00,1.237e-14,2.406e-16
7.586e+02,3.450e-18,1.000e+00,1.445e-14,3.450e-18,1.000e+00,1.445e-14,2.811e-16
8.414e+02,4.030e-18,1.000e+00,1.688e-14,4.030e-18,1.000e+00,1.688e-14,3.283e-16
9.333e+02,4.708e-18,1.000e+00,1.972e-14,4.708e-18,1.000e+00,1.972e-14,3.835e-16
1.035e+03,5.499e-18,1.000e+00,2.304e-14,5.499e-18,1.000e+00,2.304e-14,4.480e-16
1.148e+03,6.424e-18,1.000e+00,2.691e-14,6.424e-18,1.000e+00,2.691e-14,5.233e-16
1.274e+03,7.504e-18,1.000e+00,3.144e-14,7.504e-18,1.000e+00,3.144e-14,6.114e-16
1.413e+03,8.766e-18,1.000e+00,3.672e-14,8.766e-18,1.000e+00,3.672e-14,7.142e-16
1.567e+03,1.024e-17,1.000e+00,4.290e-14,1.024e-17,1.000e+00,4.290e-14,8.342e-16
1.738e+03,1.196e-17,1.000e+00,5.011e-14,1.196e-17,1.000e+00,5.011e-14,9.745e-16
1.928e+03,1.397e-17,1.000e+00,5.854e-14,1.397e-17,1.000e+00,5.854e-14,1.138e-15
2.138e+03,1.632e-17,1.000e+00,6.838e-14,1.632e-17,1.000e+00,6.838e-14,1.330e-15
2.371e+03,1.907e-17,1.000e+00,7.988e-14,1.907e-17,1.000e+00,7.988e-14,1.553e-15
2.630e+03,2.227e-17,1.000e+00,9.331e-14,2.227e-17,1.000e+00,9.331e-14,1.815e-15
2.917e+03,2.602e-17,1.000e+00,1.090e-13,2.602e-17,1.000e+00,1.090e-13,2.120e-15
3.236e+03,3.040e-17,1.000e+00,1.273e-13,3.040e-17,1.000e+00,1.273e-13,2.476e-15
3.589e+03,3.551e-17,1.000e+00,1.487e-13,3.551e-17,1.000e+00,1.487e-13,2.893e-15
3.981e+03,4.148e-17,1.000e+00,1.737e-13,4.148e-17,1.000e+00,1.737e-13,3.379e-15
4.416e+03,4.845e-17,1.000e+00,2.030e-13,4.845e-17,1.000e+00,2.030e-13,3.947e-15
4.898e+03,5.660e-17,1.000e+00,2.371e-13,5.660e-17,1.000e+00,2.371e-13,4.611e-15
5.433e+03,6.612e-17,1.000e+00,2.770e-13,6.612e-17,1.000e+00,2.770e-13,5.386e-15
6.026e+03,7.723e-17,1.000e+00,3.235e-13,7.723e-17,1.000e+00,3.235e-13,6.292e-15
6.683e+03,9.022e-17,1.000e+00,3.779e-13,9.022e-17,1.000e+00,3.779e-13,7.350e-15
7.413e+03,1.054e-16,1.000e+00,4.415e-13,1.054e-16,1.000e+00,4.415e-13,8.586e-15
8.222e+03,1.231e-16,1.000e+00,5.157e-13,1.231e-16,1.000e+00,5.157e-13,1.003e-14
