# Cooling curves for integrated and approximate forms of dust cooling, grain size, a = 1.000e-01
T,Lambda_int,h_e_int,H_el_int,Lambda_approx,h_e_approx,H_el_approx,Hcoll
2.985e+02,3.407e-16,1.000e+00,1.427e-12,3.407e-16,1.000e+00,1.427e-12,2.776e-14
3.311e+02,3.980e-16,1.000e+00,1.667e-12,3.980e-16,1.000e+00,1.667e-12,3.242e-14
3.673e+02,4.649e-16,1.000e+00,1.948e-12,4.649e-16,1.000e+00,1.948e-12,3.787e-14
4.074e+02,5.431e-16,1.000e+00,2.275e-12,5.431e-16,1.000e+00,2.275e-12,4.424e-14
4.519e+02,6.344e-16,1.000e+00,2.658e-12,6.344e-16,1.000e+00,2.658e-12,5.168e-14
5.012e+02,7.411e-16,1.000e+00,3.104e-12,7.411e-16,1.000e+00,3.104e-12,6.037e-14
5.559e+02,8.657e-16,1.000e+00,3.626e-12,8.657e-16,1.000e+00,3.626e-12,7.053e-14
6.166e+02,1.011e-15,1.000e+00,4.236e-12,1.011e-15,1.000e+00,4.236e-12,8.239e-14
6.839e+02,1.181e-15,1.000e+00,4.949e-12,1.181e-15,1.000e+00,4.949e-12,9.624e-14
7.586e+02,1.380e-15,1.000e+00,5.781e-12,1.380e-15,1.000e+00,5.781e-12,1.124e-13
8.414e+02,1.612e-15,1.000e+00,6.753e-12,1.612e-15,1.000e+00,6.753e-12,1.313e-13
9.333e+02,1.883e-15,1.000e+00,7.888e-12,1.883e-15,1.000e+00,7.888e-12,1.534e-13
1.035e+03,2.200e-15,1.000e+00,9.215e-12,2.200e-15,1.000e+00,9.215e-12,1.792e-13
1.148e+03,2.570e-15,1.000e+00,1.076e-11,2.570e-15,1.000e+00,1.076e-11,2.093e-13
1.274e+03,3.002e-15,1.000e+00,1.257e-11,3.002e-15,1.000e+00,1.257e-11,2.445e-13
1.413e+03,3.506e-15,1.000e+00,1.469e-11,3.506e-15,1.000e+00,1.469e-11,2.857e-13
1.567e+03,4.096e-15,1.000e+00,1.716e-11,4.096e-15,1.000e+00,1.716e-11,3.337e-13
1.738e+03,4.785e-15,1.000e+00,2.004e-11,4.785e-15,1.000e+00,2.004e-11,3.898e-13
1.928e+03,5.589e-15,1.000e+00,2.341e-11,5.589e-15,1.000e+00,2.341e-11,4.554e-13
2.138e+03,6.529e-15,1.000e+00,2.735e-11,6.529e-15,1.000e+00,2.735e-11,5.319e-13
2.371e+03,7.627e-15,1.000e+00,3.195e-11,7.627e-15,1.000e+00,3.195e-11,6.214e-13
2.630e+03,8.910e-15,1.000e+00,3.732e-11,8.910e-15,1.000e+00,3.732e-11,7.259e-13
2.917e+03,1.041e-14,1.000e+00,4.360e-11,1.041e-14,1.000e+00,4.360e-11,8.479e-13
3.236e+03,1.216e-14,1.000e+00,5.093e-11,1.216e-14,1.000e+00,5.093e-11,9.905e-13
3.589e+03,1.420e-14,1.000e+00,5.950e-11,1.420e-14,1.000e+00,5.950e-11,1.157e-12
3.981e+03,1.659e-14,1.000e+00,6.950e-11,1.659e-14,1.000e+00,6.950e-11,1.352e-12
4.416e+03,1.938e-14,1.000e+00,8.119e-11,1.938e-14,1.000e+00,8.119e-11,1.579e-12
4.898e+03,2.264e-14,1.000e+00,9.484e-11,2.264e-14,1.000e+00,9.484e-11,1.844e-12
